Year,Company ,Category,Market Cap(in B USD), Revenue , Gross Profit ,Net Income,Earning Per Share, EBITDA ,Share Holder Equity,Total Cash,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin2,Free Cash Flow per Share,Return on Tangible Equity2,Number of Employees,Inflation Rate(in US)2
2012,AAPL,IT, $500.61 ," $156,508.00 "," $68,662.00 "," $41,733.00 ", $1.58 ," $58,518.00 "," $118,210.00 ", $931.00 ,149.58%,0,3.53%,23.70%,3.5%,26.67%,0.3394,3.53%,76100,2.07%
2011,AAPL,IT, $376.40 ," $108,249.00 "," $43,818.00 "," $25,922.00 ", $0.99 ," $35,604.00 "," $76,615.00 "," $(1,446.00)",160.84%,0,3.38%,22.28%,3.4%,23.95%,0.6278,3.38%,63300,3.16%
2010,AAPL,IT, $296.89 ," $65,225.00 "," $25,684.00 "," $14,013.00 ", $0.54 ," $19,412.00 "," $47,791.00 "," $5,998.00 ",201.13%,0,2.93%,18.64%,2.9%,21.48%,0.2857,2.93%,49400,1.64%
2009,AAPL,IT, $189.80 ," $42,905.00 "," $17,222.00 "," $8,235.00 ", $0.32 ," $12,474.00 "," $31,640.00 "," $(6,612.00)",274.25%,0,2.60%,17.34%,2.6%,19.19%,0.355,2.60%,36800,-0.36%
2023,MSFT,IT," $2,451.23 "," $211,915.00 "," $146,052.00 "," $72,361.00 ", $9.68 ," $102,384.00 "," $206,223.00 "," $20,967.00 ",176.92%,0.2291,3.51%,17.56%,2.9%,34.15%,-0.6808,3.51%,221000,3.70%
2022,MSFT,IT," $1,787.73 "," $198,270.00 "," $135,620.00 "," $72,738.00 ", $9.65 ," $97,843.00 "," $166,542.00 ", $(152.00),178.46%,0.2989,4.37%,19.94%,3.4%,36.69%,1.2643,4.37%,221000,8.00%
2021,MSFT,IT," $2,525.08 "," $168,088.00 "," $115,856.00 "," $61,271.00 ", $8.05 ," $81,602.00 "," $141,988.00 ", $677.00 ,208.00%,0.4095,4.32%,18.36%,3.2%,36.45%,1.4887,4.32%,181000,4.70%
2020,MSFT,IT," $1,681.61 "," $143,015.00 "," $96,937.00 "," $44,281.00 ", $5.76 ," $65,755.00 "," $118,304.00 "," $2,421.00 ",251.58%,0.5353,3.74%,14.70%,2.5%,30.96%,0.9526,3.74%,163000,1.23%
2019,MSFT,IT," $1,203.06 "," $125,843.00 "," $82,933.00 "," $39,240.00 ", $5.06 ," $54,641.00 "," $102,330.00 ", $(475.00),252.88%,0.7053,3.83%,13.69%,2.3%,31.18%,0.7968,3.83%,144000,1.81%
2018,MSFT,IT, $779.67 ," $110,360.00 "," $72,007.00 "," $16,571.00 ", $2.13 ," $45,319.00 "," $82,718.00 "," $4,233.00 ",290.08%,0.9217,2.00%,6.40%,1.1%,15.02%,0.1317,2.00%,131000,2.44%
2017,MSFT,IT, $659.91 ," $96,571.00 "," $62,310.00 "," $25,489.00 ", $3.25 ," $37,803.00 "," $87,711.00 "," $1,134.00 ",291.86%,0.9827,2.91%,10.18%,1.6%,26.39%,0.8887,2.91%,124000,2.13%
